year	n_clusters	fuzziness	partition_coefficient	silhouette_score
1995	2	1.3	0.49971775535858715	0.9261578790751208
1995	3	1.3	0.3243895148090606	0.7347741511301588
1995	4	1.3	0.23285806869223905	0.5891969736026548
1995	5	1.3	0.18783973241898425	0.6052631769573136
1995	6	1.3	0.1555541181055307	0.5544721150603649
1995	7	1.3	0.13400059070691353	0.5665526903699699
1995	8	1.3	0.11724437704405416	0.5540710540987173
1995	9	1.3	0.1032306353271508	0.4984424272445277
1995	2	1.4	0.49929573573041647	0.9261578790751208
1995	3	1.4	0.3200374700750319	0.7296184581996786
1995	4	1.4	0.22686218463101357	0.5825441230456517
1995	5	1.4	0.18479870151003375	0.5984422936050681
1995	6	1.4	0.15114950052324905	0.5453344592462145
1995	7	1.4	0.12606021852480595	0.48839134289349445
1995	8	1.4	0.11157710526231716	0.5048927749916604
1995	9	1.4	0.09919618505227948	0.4999807774962851
1995	2	1.5	0.4986730469725534	0.9261578790751208
1995	3	1.5	0.3152604195628775	0.7221326329671309
1995	4	1.5	0.2216303353921013	0.580465949085591
1995	5	1.5	0.18019293570137893	0.5984422936050681
1995	6	1.5	0.14641544025849	0.5285352826078156
1995	7	1.5	0.12647675960981253	0.5467503036116635
1995	8	1.5	0.1076686636809925	0.49256985165838013
1995	9	1.5	0.09584028016378027	0.4973021607427292
1995	2	1.6	0.4978428471491757	0.9261578790751208
1995	3	1.6	0.31027411365593144	0.7142712075261716
1995	4	1.6	0.21679819331854974	0.5752032732661493
1995	5	1.6	0.1752835548204173	0.5916900856056563
1995	6	1.6	0.1350269412392881	0.4201503523553487
1995	7	1.6	0.11682215042982344	0.4422127820023854
1995	8	1.6	0.10172357067972339	0.4452316364945522
1995	9	1.6	0.09161458126246402	0.49781207517836457
1995	2	1.7	0.49679191628147273	0.9261578790751208
1995	3	1.7	0.3049737354439565	0.7028740279650316
1995	4	1.7	0.21194808188078965	0.5593963378862318
1995	5	1.7	0.17003994150630963	0.5839914114303084
1995	6	1.7	0.12977906943714032	0.418029640320122
1995	7	1.7	0.1142430296976659	0.5275164423719912
1995	8	1.7	0.09704891775048612	0.44528925885864074
1995	9	1.7	0.08288765317094035	0.42660888743119385
1995	2	2.0	0.4919350035587405	0.9261578790751208
1995	3	2.0	0.2871372739456078	0.6695198887860687
1995	4	2.0	0.19654356268374643	0.5556227297343888
1995	5	2.0	0.15313936364673156	0.57428832789926
1995	6	2.0	0.11443899878811915	0.4135946418885112
1995	7	2.0	0.09762856277230261	0.40021679235099167
1995	8	2.0	0.08363671369940089	0.4423713836201489
1995	9	2.0	0.07073822487567287	0.3799721768491601
1995	2	2.1	0.4895712110657719	0.9261578790751208
1995	3	2.1	0.28081608427433674	0.6579608884000202
1995	4	2.1	0.19127867907432988	0.5517239510839598
1995	5	2.1	0.14740732401362422	0.57428832789926
1995	6	2.1	0.1093840692627656	0.41192620200470864
1995	7	2.1	0.09193000753875896	0.4259189824790878
1995	8	2.1	0.07921014726603	0.4423713836201489
1995	9	2.1	0.06582703161838444	0.3672793703804397
1995	2	2.5	0.44184458038288565	0.8420548531000616
1995	3	2.5	0.2557211279608042	0.6480498885313438
1995	4	2.5	0.17023157349147955	0.5432431374116297
1995	5	2.5	0.12579390500625864	0.5483016678964944
1995	6	2.5	0.09104498800320113	0.39485390937338566
1995	7	2.5	0.07426216531212586	0.43422566959614617
1995	8	2.5	0.06366552470309154	0.40840698059237096
1995	9	2.5	0.052575697209234946	0.3839927149064117
1995	2	2.6	0.4339083665547653	0.8324714988625469
1995	3	2.6	0.24975454133931327	0.6480498885313438
1995	4	2.6	0.16510563323399483	0.5432431374116297
1995	5	2.6	0.1209511217958333	0.5483016678964944
1995	6	2.6	0.08716104666249745	0.3857436710241395
1995	7	2.6	0.07032357413459812	0.4194493893639323
1995	8	2.6	0.057706663044672604	0.3419989871885056
1995	9	2.6	0.0495419678315933	0.3299180035322797
1995	2	2.7	0.4260806433488706	0.8324714988625469
1995	3	2.7	0.24397715902092257	0.6416851004433777
1995	4	2.7	0.15518816430923654	0.5192409542342741
1995	5	2.7	0.11637091007751774	0.5387734637113049
1995	6	2.7	0.0835471873776931	0.37583016143613135
1995	7	2.7	0.06682842466615734	0.40940806422872605
1995	8	2.7	0.05290767282593916	0.3668620884992036
1995	9	2.7	0.047017541530692736	0.3750206443804759
1996	2	1.3	0.4985140106168893	0.8911271538514512
1996	3	1.3	0.3188686747948836	0.6410516935831313
